time,proc,dim_x,dim_y,solver,prec
130.491,128,100,70,0,1
128.553,128,100,70,0,1
130.762,128,100,70,0,1
127.662,128,100,70,0,1
184.801,64,100,70,0,1
156.006,64,100,70,0,1
156.436,64,100,70,0,1
162.737,64,100,70,0,1
229.312,32,100,70,0,1
253.975,32,100,70,0,1
242.47,32,100,70,0,1
268.695,32,100,70,0,1
224.456,32,100,70,0,1
227.207,32,100,70,0,1
280.26,32,100,70,0,1
705.905,16,100,70,0,1
898.109,16,100,70,0,1
922.605,16,100,70,0,1
944.78,16,100,70,0,1
916.71,16,100,70,0,1
901.451,16,100,70,0,1
904.892,8,100,70,0,1
1147.24,8,100,70,0,1
939.834,8,100,70,0,1
1803.73,4,100,70,0,1
3651.55,2,100,70,0,1
50.7034,128,100,70,1,1
52.8013,128,100,70,1,1
52.1175,128,100,70,1,1
51.052,128,100,70,1,1
51.4909,128,100,70,1,1
82.2484,64,100,70,1,1
68.5385,64,100,70,1,1
77.027,64,100,70,1,1
73.4494,64,100,70,1,1
77.8048,64,100,70,1,1
145.58,32,100,70,1,1
106.188,32,100,70,1,1
104.999,32,100,70,1,1
133.551,32,100,70,1,1
123.466,32,100,70,1,1
288.582,16,100,70,1,1
324.372,16,100,70,1,1
340.646,16,100,70,1,1
346.805,16,100,70,1,1
312.801,16,100,70,1,1
399.188,8,100,70,1,1
429.788,8,100,70,1,1
467.863,8,100,70,1,1
443.752,8,100,70,1,1
488.113,8,100,70,1,1
396.73,8,100,70,1,1
772.195,4,100,70,1,1
777.677,4,100,70,1,1
782.041,4,100,70,1,1
3597.79,2,100,70,1,1
3499.83,2,100,70,1,1
5294.75,1,100,70,1,1